,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
131,coahuayana,24.0,MX,1537761650.0,79.0,18.62,-100.35,68.6,0.94
132,faya,0.0,SA,1537758000.0,42.0,18.39,42.45,66.2,2.95
133,vaini,80.0,IN,1537761650.0,91.0,15.34,74.49,72.11,1.95
134,hithadhoo,76.0,MV,1537761651.0,100.0,-0.6,73.08,83.63,9.22
135,aasiaat,56.0,GL,1537761651.0,93.0,68.71,-52.87,40.16,13.35
136,pisco,0.0,PE,1537758000.0,87.0,-13.71,-76.2,60.8,10.29
137,avarua,40.0,CK,1537758000.0,61.0,-21.21,-159.78,77.0,12.75
140,aklavik,90.0,CA,1537758000.0,92.0,68.22,-135.01,32.0,6.93
142,ilulissat,64.0,GL,1537757400.0,38.0,69.22,-51.1,41.0,17.22
143,todos santos,40.0,MX,1537757340.0,65.0,23.45,-110.23,82.4,5.82
144,faanui,0.0,PF,1537761653.0,100.0,-16.48,-151.75,78.77,21.3
145,mosetse,0.0,BW,1537761654.0,32.0,-20.64,26.64,57.8,7.99
146,kavaratti,44.0,IN,1537761654.0,99.0,10.57,72.64,83.45,5.75
147,ambilobe,0.0,MG,1537761654.0,78.0,-13.19,49.05,65.09,6.42
149,norman wells,40.0,CA,1537758000.0,99.0,65.28,-126.83,42.8,4.7
150,hobart,40.0,AU,1537759800.0,37.0,-42.88,147.33,53.6,5.82
151,filadelfia,0.0,PY,1537761655.0,46.0,-22.35,-60.04,90.56,13.8
152,eyl,0.0,SO,1537761656.0,88.0,7.98,49.82,75.53,18.95
153,mattru,100.0,SL,1537761656.0,100.0,7.62,-11.83,71.48,1.5
154,san carlos del zulia,76.0,VE,1537761656.0,91.0,9.0,-71.91,80.21,1.72
155,airai,0.0,TL,1537761657.0,38.0,-8.93,125.41,86.51,2.39
156,colesberg,32.0,ZA,1537761657.0,71.0,-30.72,25.1,42.32,2.95
157,leningradskiy,0.0,RU,1537761658.0,97.0,69.38,178.42,41.42,12.24
158,mumford,88.0,GH,1537761658.0,98.0,5.26,-0.76,75.26,5.41
159,anamur,0.0,TR,1537761659.0,82.0,36.08,32.84,73.1,0.94
160,yellowknife,75.0,CA,1537758000.0,86.0,62.45,-114.38,41.0,3.36
161,geraldton,90.0,CA,1537758000.0,64.0,49.72,-86.95,35.6,9.17
162,tessalit,24.0,ML,1537761660.0,74.0,20.2,1.01,71.39,10.0
163,nassau,75.0,DE,1537759200.0,87.0,51.17,13.51,46.4,12.75
164,dzilam gonzalez,20.0,MX,1537761660.0,93.0,21.28,-88.93,76.16,2.17
165,kendari,0.0,ID,1537761660.0,73.0,-3.99,122.52,85.43,3.96
166,virginia beach,90.0,US,1537761240.0,97.0,36.85,-75.98,75.02,7.43
167,galesong,20.0,ID,1537759800.0,41.0,-5.32,119.37,93.2,12.75
168,mahebourg,75.0,MU,1537758000.0,73.0,-20.41,57.7,73.4,16.11
169,vardo,90.0,US,1537760700.0,89.0,39.62,-77.74,62.06,5.82
170,dapaong,76.0,TG,1537761662.0,88.0,10.86,0.2,77.42,5.08
171,almaznyy,0.0,RU,1537761662.0,95.0,48.03,40.04,43.67,4.97
172,oranjemund,36.0,ZA,1537761663.0,92.0,-28.55,16.43,56.9,18.5
174,bilibino,92.0,RU,1537761663.0,85.0,68.06,166.44,34.58,3.18
175,berlevag,24.0,NO,1537761664.0,100.0,70.86,29.09,42.77,12.01
176,riyadh,0.0,SA,1537758000.0,23.0,24.63,46.72,77.0,3.29
177,lasa,0.0,CY,1537759800.0,55.0,34.92,32.53,73.4,5.82
178,esperance,20.0,TT,1537758000.0,88.0,10.24,-61.45,78.8,8.05
179,diamantino,36.0,BR,1537761730.0,76.0,-14.4,-56.44,76.97,1.16
180,padang,68.0,ID,1537761730.0,100.0,-0.92,100.36,79.67,8.21
181,opuwo,24.0,NA,1537761731.0,64.0,-18.06,13.84,55.19,4.07
182,thanh hoa,32.0,VN,1537761731.0,88.0,10.21,106.33,84.98,4.07
183,constitucion,75.0,MX,1537757100.0,100.0,23.99,-104.67,60.8,8.21
184,margate,40.0,AU,1537759800.0,37.0,-43.03,147.26,53.6,5.82
185,dodge city,1.0,US,1537757640.0,77.0,37.75,-100.02,62.96,12.75
186,beba,20.0,CU,1537757400.0,88.0,22.44,-79.73,75.2,2.24
187,guatire,40.0,VE,1537758000.0,83.0,10.47,-66.54,78.8,1.95
188,north bend,1.0,US,1537757760.0,77.0,43.41,-124.22,57.92,16.11
189,bembibre,0.0,ES,1537759800.0,93.0,42.62,-6.42,50.0,1.12
190,manthani,32.0,IN,1537761734.0,100.0,18.65,79.67,78.86,5.64
191,port blair,32.0,IN,1537761734.0,100.0,11.67,92.75,81.47,6.42
192,viransehir,0.0,TR,1537761734.0,38.0,37.24,39.76,66.62,13.13
193,coquimbo,0.0,CL,1537758000.0,87.0,-29.95,-71.34,53.6,2.24
194,katsuura,75.0,JP,1537758000.0,78.0,33.93,134.5,75.2,3.36
195,aykhal,8.0,RU,1537761735.0,62.0,65.95,111.51,45.92,7.76
196,luderitz,8.0,NA,1537761736.0,88.0,-26.65,15.16,54.2,10.89
197,sao caetano de odivelas,68.0,BR,1537761623.0,100.0,-0.75,-48.02,80.66,14.25
199,ayna,0.0,ES,1537758000.0,68.0,38.55,-2.07,66.2,6.93
200,pevek,44.0,RU,1537761737.0,94.0,69.7,170.27,45.83,6.08
202,rawson,12.0,AR,1537761738.0,47.0,-43.3,-65.11,46.64,12.01
203,port macquarie,90.0,AU,1537758000.0,67.0,-31.43,152.91,60.8,6.93
204,butembo,12.0,CD,1537761738.0,95.0,0.12,29.29,56.99,1.5
206,hasaki,75.0,JP,1537758000.0,88.0,35.73,140.83,77.0,9.17
207,clonakilty,0.0,IE,1537759800.0,81.0,51.62,-8.87,42.8,5.82
208,mount gambier,56.0,AU,1537761538.0,71.0,-37.83,140.78,54.83,4.07
209,altay,24.0,CN,1537761740.0,73.0,47.83,88.13,47.45,2.95
210,ladozhskaya,75.0,RU,1537758000.0,87.0,45.31,39.93,57.2,4.47
211,serdobsk,92.0,RU,1537761741.0,96.0,52.46,44.21,48.8,14.47
212,esil,0.0,KZ,1537761741.0,84.0,51.96,66.41,43.67,3.18
214,puerto ayora,12.0,EC,1537761742.0,100.0,-0.74,-90.35,69.86,9.78
215,rio grande,92.0,BR,1537761742.0,99.0,-32.03,-52.1,64.55,10.22
216,half moon bay,1.0,US,1537760100.0,93.0,37.46,-122.43,75.02,3.36
217,sulphur,90.0,US,1537760940.0,100.0,30.24,-93.38,78.44,10.29
218,parkent,0.0,UZ,1537758000.0,39.0,41.29,69.68,66.2,9.17
219,glenwood springs,75.0,US,1537759800.0,45.0,39.55,-107.33,69.08,12.75
220,newport,0.0,GB,1537759200.0,93.0,51.59,-3.0,42.8,5.82
221,vrangel,0.0,RU,1537761744.0,100.0,42.73,133.08,60.32,14.47
222,tsaratanana,0.0,MG,1537761745.0,90.0,-16.8,47.65,57.62,6.76
223,teguldet,92.0,RU,1537761745.0,99.0,57.31,88.17,49.88,3.51
224,sao miguel do araguaia,0.0,BR,1537761619.0,81.0,-13.28,-50.16,75.26,2.73
225,deputatskiy,76.0,RU,1537761745.0,71.0,69.3,139.9,30.98,7.65
226,vestmannaeyjar,92.0,IS,1537761746.0,100.0,63.44,-20.27,44.93,14.58
227,namibe,0.0,AO,1537761746.0,100.0,-15.19,12.15,65.45,3.29
228,touros,92.0,BR,1537761746.0,85.0,-5.2,-35.46,76.88,12.68
229,muscat,75.0,OM,1537757400.0,94.0,23.6,58.55,82.4,4.7
230,cayenne,75.0,GF,1537759800.0,100.0,4.94,-52.33,75.2,7.99
231,cordoba,8.0,CO,1537761553.0,73.0,5.59,-73.79,47.36,1.83
232,hervey bay,0.0,AU,1537761747.0,80.0,-25.3,152.85,72.29,13.47
234,paciran,0.0,ID,1537761748.0,43.0,-6.9,112.33,92.09,3.4
235,kailua,90.0,US,1537757820.0,79.0,21.39,-157.74,82.94,9.17
236,clemson,1.0,US,1537761360.0,73.0,34.69,-82.84,77.0,4.74
237,kahului,40.0,US,1537757760.0,69.0,20.89,-156.47,84.92,12.75
238,inhambane,20.0,MZ,1537758000.0,93.0,-23.87,35.38,66.2,6.42
239,sault sainte marie,90.0,CA,1537760520.0,93.0,46.49,-84.36,44.6,16.11
241,kiama,75.0,AU,1537758000.0,58.0,-34.67,150.86,57.2,16.11
242,hinton,92.0,CA,1537761815.0,73.0,53.4,-117.57,39.53,3.74
243,saskylakh,88.0,RU,1537761816.0,100.0,71.97,114.09,40.52,5.64
244,upata,56.0,VE,1537761816.0,92.0,8.02,-62.41,71.12,4.18
245,aligudarz,0.0,IR,1537761816.0,67.0,33.4,49.69,41.06,2.51
246,boa vista,0.0,BR,1537761600.0,74.0,2.82,-60.67,80.6,5.82
247,lagoa,0.0,PT,1537759800.0,36.0,37.14,-8.45,77.0,6.93
248,nikolskoye,90.0,RU,1537758000.0,93.0,59.7,30.79,46.4,2.24
249,charagua,8.0,BO,1537761818.0,48.0,-19.79,-63.2,83.09,19.84
250,arlit,92.0,NE,1537761819.0,15.0,18.74,7.39,91.46,9.33
251,thompson,75.0,CA,1537758000.0,55.0,55.74,-97.86,33.8,2.24
252,roma,0.0,IT,1537759200.0,78.0,41.89,12.48,71.6,6.93
253,belaya gora,68.0,RU,1537761819.0,83.0,68.54,146.19,37.55,9.22
254,presidencia roque saenz pena,48.0,AR,1537761820.0,85.0,-26.79,-60.44,76.52,7.2
255,pirovskoye,68.0,RU,1537761820.0,99.0,57.63,92.27,53.48,3.74
256,meulaboh,68.0,ID,1537761820.0,100.0,4.14,96.13,80.93,5.97
257,chuy,92.0,UY,1537761821.0,91.0,-33.69,-53.46,60.5,8.88
259,harper,90.0,US,1537758900.0,84.0,30.3,-99.24,71.6,2.39
260,clyde river,90.0,CA,1537758000.0,85.0,70.47,-68.59,24.8,16.11
262,jinan,0.0,CN,1537761822.0,64.0,36.65,117.11,70.94,4.41
263,kieta,92.0,PG,1537761822.0,100.0,-6.22,155.63,77.33,15.26
264,yar-sale,64.0,RU,1537761823.0,90.0,66.83,70.83,51.41,4.07
265,adrar,75.0,DZ,1537758000.0,36.0,27.87,-0.29,77.0,16.11
266,susanville,1.0,US,1537760100.0,29.0,40.42,-120.65,62.6,4.7
267,tiksi,92.0,RU,1537761823.0,98.0,71.64,128.87,35.39,5.75
268,jalpa,75.0,MX,1537756800.0,77.0,21.63,-102.98,64.4,5.82
269,narsaq,92.0,GL,1537761000.0,97.0,60.91,-46.05,37.4,4.7
270,beyneu,12.0,KZ,1537761824.0,73.0,45.32,55.19,49.7,5.86
271,tual,0.0,ID,1537761825.0,95.0,-5.67,132.75,81.56,18.95
272,turbat,0.0,PK,1537761825.0,23.0,26.0,63.05,73.28,3.74
273,cloquet,90.0,US,1537760100.0,93.0,46.72,-92.46,50.0,13.87
274,klaksvik,48.0,FO,1537759200.0,81.0,62.23,-6.59,44.6,13.87
275,mendi,76.0,ET,1537761826.0,87.0,9.8,35.1,59.42,3.06
276,laguna de perlas,100.0,NI,1537761826.0,100.0,12.34,-83.67,82.46,16.04
277,oga,88.0,NG,1537761827.0,96.0,8.18,5.65,72.47,3.51
278,ternate,20.0,PH,1537758000.0,79.0,14.29,120.72,87.8,9.17
279,bud,92.0,NO,1537759200.0,80.0,62.91,6.91,42.8,5.82
280,bay roberts,40.0,CA,1537758000.0,81.0,47.58,-53.28,46.4,14.99
281,kologriv,92.0,RU,1537761828.0,99.0,58.83,44.31,48.8,4.29
282,rovira,75.0,CO,1537758000.0,88.0,4.24,-75.24,68.0,2.51
283,cherskiy,88.0,RU,1537761829.0,86.0,68.75,161.3,35.84,6.42
284,jalgaon,8.0,IN,1537761829.0,95.0,21.0,75.57,76.16,5.41
285,svetlogorsk,20.0,RU,1537758000.0,93.0,53.14,59.15,46.4,4.47
286,vilhena,48.0,BR,1537761768.0,88.0,-12.74,-60.15,71.48,1.95
287,chicama,90.0,PE,1537758000.0,88.0,-7.84,-79.15,62.6,10.29
288,fortuna,0.0,ES,1537759800.0,68.0,38.18,-1.13,71.6,5.82
289,calama,0.0,CL,1537758000.0,20.0,-22.46,-68.93,44.6,16.11
290,greeneville,92.0,US,1537758900.0,94.0,36.16,-82.83,69.98,3.36
292,thunder bay,90.0,CA,1537758000.0,75.0,48.41,-89.26,44.6,23.04
293,solnechnyy,12.0,RU,1537761832.0,68.0,50.72,136.64,57.17,2.95
294,buraydah,0.0,SA,1537758000.0,34.0,26.33,43.97,82.4,5.82
295,havoysund,75.0,NO,1537757400.0,70.0,71.0,24.66,46.4,25.28
296,tasiilaq,92.0,GL,1537761000.0,100.0,65.61,-37.64,32.0,33.33
297,taitung,40.0,TW,1537758000.0,66.0,22.76,121.15,87.8,9.17
298,havelock,1.0,US,1537761360.0,97.0,34.88,-76.9,73.04,4.18
299,nyurba,0.0,RU,1537761898.0,53.0,63.29,118.35,50.78,4.85
300,jian,12.0,IN,1537761899.0,94.0,25.65,87.89,81.83,6.53
301,turukhansk,92.0,RU,1537761899.0,100.0,65.8,87.96,46.28,11.01
302,linkou,56.0,CN,1537761899.0,74.0,45.29,130.27,55.73,4.63
303,la palma,20.0,CO,1537761900.0,100.0,5.36,-74.39,66.53,1.5
304,alekseyevsk,32.0,RU,1537761900.0,50.0,57.84,108.35,53.39,3.4
305,kodiak,1.0,US,1537761180.0,77.0,39.95,-94.76,64.04,9.17
306,dikson,92.0,RU,1537761901.0,97.0,73.51,80.55,39.53,4.41
307,la romana,40.0,DO,1537758000.0,100.0,18.43,-68.97,80.6,4.74
309,souillac,0.0,FR,1537759800.0,71.0,45.6,-0.6,51.8,12.75
310,taoudenni,56.0,ML,1537761902.0,30.0,22.68,-3.98,85.88,15.03
311,sungaipenuh,56.0,ID,1537761903.0,79.0,-2.08,101.38,73.73,1.72
312,egvekinot,8.0,RU,1537761903.0,73.0,66.32,-179.17,42.68,3.4
313,noyabrsk,92.0,RU,1537761735.0,99.0,63.2,75.45,48.62,8.43
314,hambantota,64.0,LK,1537761904.0,100.0,6.12,81.12,80.21,10.89
315,islampur,92.0,IN,1537761904.0,98.0,26.26,88.19,78.86,4.63
316,muros,40.0,ES,1537759800.0,88.0,42.77,-9.06,62.6,8.05
318,san carlos de bariloche,40.0,AR,1537758000.0,74.0,-41.13,-71.31,37.4,11.41
319,vallenar,0.0,CL,1537761905.0,66.0,-28.58,-70.76,51.32,3.18
320,narasannapeta,8.0,IN,1537761906.0,79.0,18.42,84.04,84.08,3.74
321,merauke,12.0,ID,1537761906.0,62.0,-8.49,140.4,86.87,14.14
322,namatanai,88.0,PG,1537761906.0,100.0,-3.66,152.44,82.28,8.88
323,alcantara,0.0,PH,1537761907.0,96.0,9.97,123.41,82.91,5.75
324,florian,90.0,US,1537761300.0,81.0,48.44,-96.63,51.8,8.05
325,santa lucia,0.0,IT,1537761908.0,94.0,39.93,9.66,63.65,7.43
326,poum,0.0,MK,1537759800.0,93.0,41.28,20.71,48.2,3.36
327,mae ramat,40.0,TH,1537758000.0,70.0,16.98,98.52,84.2,3.36
328,mwense,8.0,ZM,1537761909.0,37.0,-10.39,28.7,70.04,11.23
329,san quintin,20.0,PH,1537758000.0,62.0,17.54,120.52,89.6,4.7
331,kangasala,20.0,FI,1537761000.0,96.0,61.46,24.07,37.4,6.93
333,guerrero negro,36.0,MX,1537761910.0,90.0,27.97,-114.04,71.48,10.45
334,severo-kurilsk,44.0,RU,1537761910.0,84.0,50.68,156.12,52.94,4.52
335,ust-omchug,24.0,RU,1537761911.0,58.0,61.13,149.63,40.79,3.96
337,kloulklubed,90.0,PW,1537757580.0,74.0,7.04,134.26,86.0,11.41
338,le vauclin,20.0,MQ,1537759800.0,83.0,14.55,-60.84,78.8,2.24
339,jodiya,0.0,IN,1537761912.0,95.0,22.69,70.31,81.65,13.58
340,lincoln,8.0,GB,1537761000.0,81.0,53.23,-0.54,44.6,4.7
341,codrington,92.0,AU,1537761913.0,88.0,-28.95,153.24,62.21,7.76
343,black river,20.0,JM,1537758000.0,78.0,18.03,-77.85,80.6,3.36
344,jardim,0.0,BR,1537761914.0,71.0,-21.48,-56.15,76.43,3.85
346,gebre guracha,0.0,ET,1537761914.0,78.0,9.8,38.4,41.15,1.83
347,nishihara,20.0,JP,1537758000.0,65.0,35.74,139.53,82.4,4.7
348,cockburn town,0.0,TC,1537761766.0,98.0,21.46,-71.14,83.54,16.6
349,dicabisagan,0.0,PH,1537761915.0,93.0,17.08,122.42,83.0,5.53
350,stepnyak,76.0,KZ,1537761915.0,97.0,52.83,70.79,47.99,8.88
351,mudgee,24.0,AU,1537761916.0,75.0,-32.6,149.59,60.32,10.89
352,chapais,1.0,CA,1537758000.0,80.0,49.78,-74.86,30.2,4.7
353,soloneshnoye,80.0,RU,1537761734.0,93.0,51.65,84.32,49.79,1.16
354,morayfield,75.0,AU,1537759800.0,53.0,-27.11,152.95,78.8,20.8
355,port lincoln,0.0,AU,1537761982.0,86.0,-34.72,135.86,59.33,15.48
356,ulladulla,75.0,AU,1537758000.0,58.0,-35.36,150.48,57.2,16.11
357,ranong,20.0,TH,1537758000.0,83.0,9.96,98.62,84.2,2.24
358,minab,0.0,IR,1537759800.0,52.0,27.15,57.07,87.8,2.73
359,bjornevatn,75.0,NO,1537759200.0,87.0,69.67,29.98,44.6,13.87
360,dunmore east,12.0,IE,1537761983.0,100.0,52.15,-6.99,41.96,6.08
361,grado,90.0,ES,1537759800.0,100.0,43.39,-6.07,60.8,10.29
362,khomutovka,48.0,RU,1537761984.0,91.0,51.92,34.56,43.58,10.22
363,armidale,76.0,AU,1537761984.0,84.0,-30.51,151.67,54.47,8.32
364,vryheid,0.0,ZA,1537761985.0,89.0,-27.77,30.79,48.62,1.95
365,fujin,92.0,CN,1537761985.0,100.0,47.24,132.03,50.96,7.09
